threshold,precision,recall,f1,accuracy
0.0,0.55,1.0,0.71,0.55
0.06,0.61,1.0,0.76,0.64
0.11,0.69,0.99,0.81,0.75
0.17,0.77,0.99,0.87,0.83
0.22,0.8,0.97,0.88,0.85
0.28,0.84,0.96,0.9,0.88
0.33,0.89,0.96,0.92,0.91
0.39,0.91,0.94,0.92,0.91
0.44,0.91,0.87,0.89,0.88
0.5,0.91,0.82,0.87,0.86
0.56,0.91,0.78,0.84,0.84
0.61,0.93,0.76,0.84,0.84
0.67,0.95,0.7,0.8,0.81
0.72,0.96,0.68,0.79,0.8
0.78,0.97,0.65,0.78,0.79
0.83,0.98,0.54,0.7,0.74
0.89,0.97,0.34,0.51,0.63
0.94,1.0,0.14,0.24,0.52
1.0,0.0,0.0,0.0,0.45
